Time","Strength","Firsts","Lasts","Minimum","Maximum"
"Mon Feb 13 2017 10:00:00 GMT-0500 (Eastern Standard Time)","2:35","2:26","2:52","2:21","2:58"
"Mon Feb 13 2017 10:05:00 GMT-0500 (Eastern Standard Time)","2:43","2:31","3:00","2:22","3:01"
"Mon Feb 13 2017 10:10:00 GMT-0500 (Eastern Standard Time)","2:43","2:31","3:00","2:22","3:03"
"Mon Feb 13 2017 10:15:00 GMT-0500 (Eastern Standard Time)","2:43","2:31","3:00","2:22","3:03"
"Mon Feb 13 2017 10:20:00 GMT-0500 (Eastern Standard Time)","2:43","2:31","3:00","2:22","3:03"
"Mon Feb 13 2017 10:25:00 GMT-0500 (Eastern Standard Time)","2:40","2:26","3:00","2:21","3:01"
"Mon Feb 13 2017 10:30:00 GMT-0500 (Eastern Standard Time)","2:35","2:26","2:58","2:21","3:00"
"Mon Feb 13 2017 10:35:00 GMT-0500 (Eastern Standard Time)","2:35","2:26","2:58","2:21","3:00"
"Mon Feb 13 2017 10:40:00 GMT-0500 (Eastern Standard Time)","2:35","2:26","2:58","2:21","3:00"
"Mon Feb 13 2017 10:45:00 GMT-0500 (Eastern Standard Time)","2:35","2:26","2:58","2:21","3:00"
"Mon Feb 13 2017 10:50:00 GMT-0500 (Eastern Standard Time)","2:35","2:26","2:58","2:21","3:00"
"Mon Feb 13 2017 10:55:00 GMT-0500 (Eastern Standard Time)","2:43","2:26","3:00","2:21","3:11"
"Mon Feb 13 2017 11:00:00 GMT-0500 (Eastern Standard Time)","2:43","2:26","3:00","2:21","3:11"
"Mon Feb 13 2017 11:05:00 GMT-0500 (Eastern Standard Time)","2:49","2:26","3:03","2:21","3:22"
"Mon Feb 13 2017 11:10:00 GMT-0500 (Eastern Standard Time)","2:49","2:26","3:03","2:21","3:22"
"Mon Feb 13 2017 11:15:00 GMT-0500 (Eastern Standard Time)","2:49","2:26","3:03","2:21","3:22"
"Mon Feb 13 2017 11:20:00 GMT-0500 (Eastern Standard Time)","2:49","2:26","3:03","2:21","3:22"
"Mon Feb 13 2017 11:25:00 GMT-0500 (Eastern Standard Time)","2:49","2:26","3:22","2:21","3:24"
"Mon Feb 13 2017 11:30:00 GMT-0500 (Eastern Standard Time)","2:49","2:31","3:24","2:21","3:26"
"Mon Feb 13 2017 11:35:00 GMT-0500 (Eastern Standard Time)","2:53","2:28","3:25","2:21","3:30"
"Mon Feb 13 2017 11:40:00 GMT-0500 (Eastern Standard Time)","3:00","2:49","3:27","2:37","3:39"
"Mon Feb 13 2017 11:45:00 GMT-0500 (Eastern Standard Time)","3:00","2:49","3:27","2:37","3:39"
"Mon Feb 13 2017 11:50:00 GMT-0500 (Eastern Standard Time)","3:02","2:31","3:38","2:31","3:45"
"Mon Feb 13 2017 11:55:00 GMT-0500 (Eastern Standard Time)","2:59","2:23","3:26","2:19","3:34"
"Mon Feb 13 2017 12:00:00 GMT-0500 (Eastern Standard Time)","2:59","2:23","3:26","2:19","3:34"
"Mon Feb 13 2017 12:05:00 GMT-0500 (Eastern Standard Time)","2:58","2:19","3:25","2:18","3:27"
"Mon Feb 13 2017 12:10:00 GMT-0500 (Eastern Standard Time)","2:49","2:18","3:24","2:15","3:26"
"Mon Feb 13 2017 12:15:00 GMT-0500 (Eastern Standard Time)","2:45","2:17","3:23","2:15","3:25"
"Mon Feb 13 2017 12:20:00 GMT-0500 (Eastern Standard Time)","2:43","2:17","3:03","2:15","3:22"
"Mon Feb 13 2017 12:25:00 GMT-0500 (Eastern Standard Time)","2:43","2:17","3:03","2:15","3:22"
"Mon Feb 13 2017 12:30:00 GMT-0500 (Eastern Standard Time)","2:43","2:17","3:03","2:15","3:22"
"Mon Feb 13 2017 12:35:00 GMT-0500 (Eastern Standard Time)","2:43","2:17","3:03","2:15","3:22"
"Mon Feb 13 2017 12:40:00 GMT-0500 (Eastern Standard Time)","2:40","2:16","3:00","2:15","3:03"
"Mon Feb 13 2017 12:45:00 GMT-0500 (Eastern Standard Time)","2:40","2:16","3:00","2:15","3:03"
"Mon Feb 13 2017 12:50:00 GMT-0500 (Eastern Standard Time)","2:40","2:16","3:00","2:14","3:03"
"Mon Feb 13 2017 12:55:00 GMT-0500 (Eastern Standard Time)","2:40","2:16","3:00","2:14","3:03"
"Mon Feb 13 2017 13:00:00 GMT-0500 (Eastern Standard Time)","2:40","2:16","3:00","2:13","3:03"
"Mon Feb 13 2017 13:05:00 GMT-0500 (Eastern Standard Time)","2:40","2:16","3:00","2:13","3:03"
"Mon Feb 13 2017 13:10:00 GMT-0500 (Eastern Standard Time)","2:40","2:16","3:00","2:13","3:03"
"Mon Feb 13 2017 13:15:00 GMT-0500 (Eastern Standard Time)","2:40","2:16","3:00","2:13","3:03"
"Mon Feb 13 2017 13:20:00 GMT-0500 (Eastern Standard Time)","2:40","2:16","3:00","2:13","3:03"
"Mon Feb 13 2017 13:25:00 GMT-0500 (Eastern Standard Time)","2:40","2:16","3:00","2:13","3:03"
"Mon Feb 13 2017 13:30:00 GMT-0500 (Eastern Standard Time)","2:40","2:16","3:00","2:13","3:03"
"Mon Feb 13 2017 13:35:00 GMT-0500 (Eastern Standard Time)","2:40","2:16","3:00","2:13","3:03"
"Mon Feb 13 2017 13:40:00 GMT-0500 (Eastern Standard Time)","2:40","2:16","3:00","2:13","3:03"
"Mon Feb 13 2017 13:45:00 GMT-0500 (Eastern Standard Time)","2:40","2:16","3:00","2:13","3:03"
