Time","Strength","Firsts","Lasts","Minimum","Maximum"
"Mon Feb 13 2017 14:20:00 GMT-0500 (Eastern Standard Time)","1:18","1:10","1:20","1:05","1:23"
"Mon Feb 13 2017 14:25:00 GMT-0500 (Eastern Standard Time)","1:16","1:08","1:20","1:05","1:23"
"Mon Feb 13 2017 14:30:00 GMT-0500 (Eastern Standard Time)","1:15","1:07","1:20","1:04","1:23"
"Mon Feb 13 2017 14:35:00 GMT-0500 (Eastern Standard Time)","1:18","1:06","1:20","1:03","1:24"
"Mon Feb 13 2017 14:40:00 GMT-0500 (Eastern Standard Time)","1:16","1:05","1:20","1:03","1:23"
"Mon Feb 13 2017 14:45:00 GMT-0500 (Eastern Standard Time)","1:19","1:07","1:20","1:04","1:25"
"Mon Feb 13 2017 14:50:00 GMT-0500 (Eastern Standard Time)","1:19","1:09","1:20","1:06","1:24"
"Mon Feb 13 2017 14:55:00 GMT-0500 (Eastern Standard Time)","1:19","1:10","1:20","1:07","1:24"
"Mon Feb 13 2017 15:00:00 GMT-0500 (Eastern Standard Time)","1:18","1:10","1:18","1:07","1:22"
"Mon Feb 13 2017 15:05:00 GMT-0500 (Eastern Standard Time)","1:15","1:09","1:15","1:06","1:19"
"Mon Feb 13 2017 15:10:00 GMT-0500 (Eastern Standard Time)","1:13","1:09","1:11","1:04","1:17"
"Mon Feb 13 2017 15:15:00 GMT-0500 (Eastern Standard Time)","1:11","1:08","1:08","1:03","1:14"
"Mon Feb 13 2017 15:20:00 GMT-0500 (Eastern Standard Time)","1:11","1:10","1:08","1:03","1:15"
"Mon Feb 13 2017 15:25:00 GMT-0500 (Eastern Standard Time)","1:12","1:11","1:09","1:05","1:15"
"Mon Feb 13 2017 15:30:00 GMT-0500 (Eastern Standard Time)","1:14","1:12","1:10","1:05","1:16"
"Mon Feb 13 2017 15:35:00 GMT-0500 (Eastern Standard Time)","1:15","1:13","1:13","1:07","1:18"
"Mon Feb 13 2017 15:40:00 GMT-0500 (Eastern Standard Time)","1:15","1:13","1:14","1:08","1:22"
"Mon Feb 13 2017 15:45:00 GMT-0500 (Eastern Standard Time)","1:15","1:13","1:15","1:08","1:26"
"Mon Feb 13 2017 15:50:00 GMT-0500 (Eastern Standard Time)","1:24","1:18","1:23","1:14","1:34"
"Mon Feb 13 2017 15:55:00 GMT-0500 (Eastern Standard Time)","1:31","1:25","1:36","1:20","1:43"
"Mon Feb 13 2017 16:00:00 GMT-0500 (Eastern Standard Time)","1:41","1:35","1:43","1:31","1:50"
"Mon Feb 13 2017 16:05:00 GMT-0500 (Eastern Standard Time)","1:42","1:35","1:44","1:33","1:51"
"Mon Feb 13 2017 16:10:00 GMT-0500 (Eastern Standard Time)","1:44","1:37","1:48","1:34","1:54"
"Mon Feb 13 2017 16:15:00 GMT-0500 (Eastern Standard Time)","1:48","1:41","1:53","1:34","1:57"
"Mon Feb 13 2017 16:20:00 GMT-0500 (Eastern Standard Time)","1:39","1:36","1:39","1:29","1:46"
"Mon Feb 13 2017 16:25:00 GMT-0500 (Eastern Standard Time)","1:52","1:46","1:51","1:36","1:59"
"Mon Feb 13 2017 16:30:00 GMT-0500 (Eastern Standard Time)","2:02","1:58","2:01","1:51","2:07"
"Mon Feb 13 2017 16:35:00 GMT-0500 (Eastern Standard Time)","2:06","2:03","2:09","1:59","2:17"
"Mon Feb 13 2017 16:40:00 GMT-0500 (Eastern Standard Time)","2:09","2:06","2:14","2:02","2:22"
"Mon Feb 13 2017 16:45:00 GMT-0500 (Eastern Standard Time)","2:17","2:10","2:17","2:06","2:30"
"Mon Feb 13 2017 16:50:00 GMT-0500 (Eastern Standard Time)","2:32","2:26","2:28","2:10","2:38"
"Mon Feb 13 2017 16:55:00 GMT-0500 (Eastern Standard Time)","2:53","2:46","2:48","2:30","3:05"
"Mon Feb 13 2017 17:00:00 GMT-0500 (Eastern Standard Time)","3:31","3:26","3:22","3:04","3:45"
"Mon Feb 13 2017 17:05:00 GMT-0500 (Eastern Standard Time)","4:06","4:01","3:51","3:31","4:23"
"Mon Feb 13 2017 17:10:00 GMT-0500 (Eastern Standard Time)","4:19","4:17","4:03","3:46","4:35"
"Mon Feb 13 2017 17:15:00 GMT-0500 (Eastern Standard Time)","4:20","4:21","4:14","3:53","4:44"
"Mon Feb 13 2017 17:20:00 GMT-0500 (Eastern Standard Time)","4:21","4:21","4:14","3:55","4:38"
"Mon Feb 13 2017 17:25:00 GMT-0500 (Eastern Standard Time)","4:20","4:16","4:12","3:56","4:29"
"Mon Feb 13 2017 17:30:00 GMT-0500 (Eastern Standard Time)","4:10","4:13","4:03","3:47","4:26"
"Mon Feb 13 2017 17:35:00 GMT-0500 (Eastern Standard Time)","4:02","4:04","4:00","3:50","4:19"
"Mon Feb 13 2017 17:40:00 GMT-0500 (Eastern Standard Time)","4:10","4:18","4:06","4:01","4:24"
"Mon Feb 13 2017 17:45:00 GMT-0500 (Eastern Standard Time)","4:30","4:34","4:21","4:15","4:40"
"Mon Feb 13 2017 17:50:00 GMT-0500 (Eastern Standard Time)","4:48","4:47","4:29","4:24","5:05"
"Mon Feb 13 2017 17:55:00 GMT-0500 (Eastern Standard Time)","4:36","4:35","4:25","4:12","4:46"
"Mon Feb 13 2017 18:00:00 GMT-0500 (Eastern Standard Time)","4:19","4:19","4:11","3:53","4:31"
"Mon Feb 13 2017 18:05:00 GMT-0500 (Eastern Standard Time)","4:04","4:07","4:00","3:47","4:21"
"Mon Feb 13 2017 18:10:00 GMT-0500 (Eastern Standard Time)","4:05","4:06","4:00","3:49","4:18"
"Mon Feb 13 2017 18:15:00 GMT-0500 (Eastern Standard Time)","4:06","4:06","3:55","3:48","4:17"
"Mon Feb 13 2017 18:20:00 GMT-0500 (Eastern Standard Time)","4:06","4:07","3:55","3:49","4:12"
"Mon Feb 13 2017 18:25:00 GMT-0500 (Eastern Standard Time)","4:09","4:08","3:59","3:49","4:13"
"Mon Feb 13 2017 18:30:00 GMT-0500 (Eastern Standard Time)","4:12","4:16","4:07","4:02","4:28"
"Mon Feb 13 2017 18:35:00 GMT-0500 (Eastern Standard Time)","4:56","4:53","4:45","4:31","5:10"
"Mon Feb 13 2017 18:40:00 GMT-0500 (Eastern Standard Time)","5:38","5:19","5:36","5:04","5:48"
"Mon Feb 13 2017 18:45:00 GMT-0500 (Eastern Standard Time)","5:15","5:12","5:11","5:00","5:30"
"Mon Feb 13 2017 18:50:00 GMT-0500 (Eastern Standard Time)","5:00","5:02","4:44","4:33","5:13"
"Mon Feb 13 2017 18:55:00 GMT-0500 (Eastern Standard Time)","4:44","4:46","4:28","4:14","5:01"
"Mon Feb 13 2017 19:00:00 GMT-0500 (Eastern Standard Time)","4:48","4:46","4:33","4:16","5:03"
"Mon Feb 13 2017 19:05:00 GMT-0500 (Eastern Standard Time)","5:01","4:54","4:48","4:35","5:12"
"Mon Feb 13 2017 19:10:00 GMT-0500 (Eastern Standard Time)","5:13","5:07","5:06","4:47","5:25"
"Mon Feb 13 2017 19:15:00 GMT-0500 (Eastern Standard Time)","5:27","5:20","5:27","5:00","5:46"
"Mon Feb 13 2017 19:20:00 GMT-0500 (Eastern Standard Time)","5:44","5:27","5:30","5:03","5:57"
"Mon Feb 13 2017 19:25:00 GMT-0500 (Eastern Standard Time)","5:48","5:26","5:29","5:08","6:00"
"Mon Feb 13 2017 19:30:00 GMT-0500 (Eastern Standard Time)","5:37","5:16","5:24","4:59","5:50"
