Time","Strength","Firsts","Lasts","Minimum","Maximum"
"Mon Feb 13 2017 12:35:00 GMT-0500 (Eastern Standard Time)","0:54","0:54","0:57","0:45","1:09"
"Mon Feb 13 2017 12:40:00 GMT-0500 (Eastern Standard Time)","0:54","0:53","1:00","0:45","1:09"
"Mon Feb 13 2017 12:45:00 GMT-0500 (Eastern Standard Time)","0:59","0:54","1:00","0:45","1:09"
"Mon Feb 13 2017 12:50:00 GMT-0500 (Eastern Standard Time)","1:00","0:57","1:00","0:45","1:10"
"Mon Feb 13 2017 12:55:00 GMT-0500 (Eastern Standard Time)","1:00","0:59","1:00","0:45","1:12"
"Mon Feb 13 2017 13:00:00 GMT-0500 (Eastern Standard Time)","1:03","1:01","1:04","0:45","1:17"
"Mon Feb 13 2017 13:05:00 GMT-0500 (Eastern Standard Time)","1:03","1:00","1:04","0:44","1:17"
"Mon Feb 13 2017 13:10:00 GMT-0500 (Eastern Standard Time)","1:01","0:57","1:04","0:44","1:14"
"Mon Feb 13 2017 13:15:00 GMT-0500 (Eastern Standard Time)","1:00","0:54","1:00","0:43","1:10"
"Mon Feb 13 2017 13:20:00 GMT-0500 (Eastern Standard Time)","1:00","0:55","1:00","0:43","1:09"
"Mon Feb 13 2017 13:25:00 GMT-0500 (Eastern Standard Time)","1:00","0:56","1:00","0:44","1:06"
"Mon Feb 13 2017 13:30:00 GMT-0500 (Eastern Standard Time)","1:00","0:58","1:00","0:43","1:07"
"Mon Feb 13 2017 13:35:00 GMT-0500 (Eastern Standard Time)","1:03","1:04","1:04","0:49","1:13"
"Mon Feb 13 2017 13:40:00 GMT-0500 (Eastern Standard Time)","1:05","1:07","1:06","0:53","1:25"
"Mon Feb 13 2017 13:45:00 GMT-0500 (Eastern Standard Time)","1:06","1:05","1:08","0:56","1:21"
"Mon Feb 13 2017 13:50:00 GMT-0500 (Eastern Standard Time)","1:06","1:06","1:07","0:55","1:23"
"Mon Feb 13 2017 13:55:00 GMT-0500 (Eastern Standard Time)","1:06","1:07","1:08","0:56","1:26"
"Mon Feb 13 2017 14:00:00 GMT-0500 (Eastern Standard Time)","1:04","1:04","1:10","0:58","1:26"
"Mon Feb 13 2017 14:05:00 GMT-0500 (Eastern Standard Time)","1:03","1:02","1:10","0:58","1:21"
"Mon Feb 13 2017 14:10:00 GMT-0500 (Eastern Standard Time)","1:03","1:01","1:13","0:58","1:21"
"Mon Feb 13 2017 14:15:00 GMT-0500 (Eastern Standard Time)","1:03","1:02","1:14","0:58","1:21"
"Mon Feb 13 2017 14:20:00 GMT-0500 (Eastern Standard Time)","1:03","1:01","1:15","0:57","1:25"
"Mon Feb 13 2017 14:25:00 GMT-0500 (Eastern Standard Time)","1:04","1:01","1:20","0:57","1:21"
"Mon Feb 13 2017 14:30:00 GMT-0500 (Eastern Standard Time)","1:04","1:01","1:20","0:56","1:21"
"Mon Feb 13 2017 14:35:00 GMT-0500 (Eastern Standard Time)","1:05","1:02","1:19","0:56","1:26"
"Mon Feb 13 2017 14:40:00 GMT-0500 (Eastern Standard Time)","1:04","1:01","1:16","0:53","1:20"
"Mon Feb 13 2017 14:45:00 GMT-0500 (Eastern Standard Time)","1:03","1:00","1:14","0:51","1:20"
"Mon Feb 13 2017 14:50:00 GMT-0500 (Eastern Standard Time)","1:10","1:01","1:17","0:53","1:24"
"Mon Feb 13 2017 14:55:00 GMT-0500 (Eastern Standard Time)","1:09","1:01","1:12","0:53","1:21"
"Mon Feb 13 2017 15:00:00 GMT-0500 (Eastern Standard Time)","1:07","1:00","1:11","0:51","1:21"
"Mon Feb 13 2017 15:05:00 GMT-0500 (Eastern Standard Time)","1:04","0:58","1:09","0:49","1:15"
"Mon Feb 13 2017 15:10:00 GMT-0500 (Eastern Standard Time)","1:04","0:58","1:10","0:50","1:16"
"Mon Feb 13 2017 15:15:00 GMT-0500 (Eastern Standard Time)","1:10","1:00","1:16","0:53","1:28"
"Mon Feb 13 2017 15:20:00 GMT-0500 (Eastern Standard Time)","1:09","1:02","1:17","0:57","1:24"
"Mon Feb 13 2017 15:25:00 GMT-0500 (Eastern Standard Time)","1:21","1:05","1:24","0:59","1:35"
"Mon Feb 13 2017 15:30:00 GMT-0500 (Eastern Standard Time)","1:32","1:18","1:33","1:04","1:51"
"Mon Feb 13 2017 15:35:00 GMT-0500 (Eastern Standard Time)","1:42","1:26","1:49","1:10","2:06"
"Mon Feb 13 2017 15:40:00 GMT-0500 (Eastern Standard Time)","1:46","1:32","1:51","1:15","2:09"
"Mon Feb 13 2017 15:45:00 GMT-0500 (Eastern Standard Time)","1:39","1:30","1:44","1:15","2:05"
"Mon Feb 13 2017 15:50:00 GMT-0500 (Eastern Standard Time)","1:34","1:26","1:41","1:08","1:59"
"Mon Feb 13 2017 15:55:00 GMT-0500 (Eastern Standard Time)","1:17","1:12","1:24","1:01","1:29"
"Mon Feb 13 2017 16:00:00 GMT-0500 (Eastern Standard Time)","1:08","1:04","1:13","1:00","1:20"
"Mon Feb 13 2017 16:05:00 GMT-0500 (Eastern Standard Time)","1:05","1:03","1:05","1:00","1:18"
"Mon Feb 13 2017 16:10:00 GMT-0500 (Eastern Standard Time)","1:08","1:05","1:08","1:00","1:20"
"Mon Feb 13 2017 16:15:00 GMT-0500 (Eastern Standard Time)","1:09","1:05","1:07","1:00","1:22"
"Mon Feb 13 2017 16:20:00 GMT-0500 (Eastern Standard Time)","1:16","1:07","1:15","1:01","1:34"
"Mon Feb 13 2017 16:25:00 GMT-0500 (Eastern Standard Time)","1:26","1:17","1:22","1:01","1:40"
"Mon Feb 13 2017 16:30:00 GMT-0500 (Eastern Standard Time)","1:25","1:22","1:22","1:01","1:40"
"Mon Feb 13 2017 16:35:00 GMT-0500 (Eastern Standard Time)","1:28","1:26","1:24","1:02","1:43"
"Mon Feb 13 2017 16:40:00 GMT-0500 (Eastern Standard Time)","1:38","1:35","1:31","1:05","1:51"
"Mon Feb 13 2017 16:45:00 GMT-0500 (Eastern Standard Time)","1:47","1:40","1:39","1:12","1:59"
"Mon Feb 13 2017 16:50:00 GMT-0500 (Eastern Standard Time)","1:55","1:48","1:42","1:23","2:11"
"Mon Feb 13 2017 16:55:00 GMT-0500 (Eastern Standard Time)","1:57","1:50","1:47","1:26","2:19"
"Mon Feb 13 2017 17:00:00 GMT-0500 (Eastern Standard Time)","2:01","1:58","2:01","1:32","2:25"
"Mon Feb 13 2017 17:05:00 GMT-0500 (Eastern Standard Time)","2:03","1:58","2:10","1:30","2:30"
